review_rank,case_id,route_label,priority_score,predicted_exploitation_type,P(Sex),P(Labor),P(Both),confidence,target_probability,key_indicators,selected_for_review,reviewer_action,reviewer_notes
141,CTDC-SYN-0312,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.64576095,0.3332083,0.021030746,0.64576095,0.3332083,denial_basic_needs; threats,False,,
142,CTDC-SYN-0169,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.34366852,0.32461587,0.3317156,0.34366852,0.3317156,debt_bondage,False,,
143,CTDC-SYN-0324,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.6089139,0.08749177,0.30359435,0.6089139,0.30359435,excessive_work_hours; denial_basic_needs,False,,
144,CTDC-SYN-0069,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.5502994,0.2978239,0.15187669,0.5502994,0.2978239,excessive_work_hours; threats,False,,
145,CTDC-SYN-0114,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.66401964,0.29368058,0.042299822,0.66401964,0.29368058,no configured indicator above threshold,False,,
146,CTDC-SYN-0335,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.61275476,0.24598733,0.14125791,0.61275476,0.24598733,excessive_work_hours,False,,
147,CTDC-SYN-0267,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.79358286,0.020686738,0.18573041,0.79358286,0.18573041,threats,False,,
148,CTDC-SYN-0176,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.83240193,0.14814767,0.019450396,0.83240193,0.14814767,denial_basic_needs,False,,
149,CTDC-SYN-0373,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.82883865,0.04634509,0.124816306,0.82883865,0.124816306,no configured indicator above threshold,False,,
150,CTDC-SYN-0153,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.85993004,0.12466487,0.015405049,0.85993004,0.12466487,no configured indicator above threshold,False,,
151,CTDC-SYN-0005,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.85993004,0.12466487,0.015405049,0.85993004,0.12466487,no configured indicator above threshold,False,,
152,CTDC-SYN-0082,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.87135464,0.12087279,0.007772541,0.87135464,0.12087279,no configured indicator above threshold,False,,
153,CTDC-SYN-0076,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.8781004,0.10942679,0.012472868,0.8781004,0.10942679,no configured indicator above threshold,False,,
154,CTDC-SYN-0048,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.88507986,0.107974,0.0069461563,0.88507986,0.107974,denial_basic_needs,False,,
155,CTDC-SYN-0158,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.88905835,0.10611958,0.004822009,0.88905835,0.10611958,denial_basic_needs,False,,
156,CTDC-SYN-0047,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.8818977,0.105665326,0.012436999,0.8818977,0.105665326,denial_basic_needs,False,,
157,CTDC-SYN-0340,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.8887513,0.09895207,0.012296624,0.8887513,0.09895207,close_recruiter_relationship,False,,
158,CTDC-SYN-0272,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.8828846,0.09867286,0.018442566,0.8828846,0.09867286,no configured indicator above threshold,False,,
159,CTDC-SYN-0323,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.89554256,0.097928375,0.006529056,0.89554256,0.097928375,no configured indicator above threshold,False,,
160,CTDC-SYN-0094,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.8812106,0.023810038,0.09497927,0.8812106,0.09497927,excessive_work_hours,False,,
161,CTDC-SYN-0232,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.90101403,0.093709394,0.005276646,0.90101403,0.093709394,denial_basic_needs,False,,
162,CTDC-SYN-0026,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.89517415,0.09366161,0.011164265,0.89517415,0.09366161,denial_basic_needs,False,,
163,CTDC-SYN-0316,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.8250945,0.08213073,0.09277474,0.8250945,0.09277474,withheld_documents,False,,
164,CTDC-SYN-0319,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9007374,0.08952718,0.009735402,0.9007374,0.08952718,threats,False,,
165,CTDC-SYN-0308,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.8936874,0.08724089,0.01907171,0.8936874,0.08724089,threats,False,,
166,CTDC-SYN-0400,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.86247283,0.05578678,0.08174043,0.86247283,0.08174043,excessive_work_hours,False,,
167,CTDC-SYN-0351,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.913634,0.081695,0.0046710516,0.913634,0.081695,denial_basic_needs; threats,False,,
168,CTDC-SYN-0051,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.87064683,0.07937218,0.049980983,0.87064683,0.07937218,denial_basic_needs; close_recruiter_relationship,False,,
169,CTDC-SYN-0188,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9150788,0.07754076,0.0073803756,0.9150788,0.07754076,threats,False,,
170,CTDC-SYN-0385,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9180193,0.059661843,0.022318853,0.9180193,0.059661843,close_recruiter_relationship,False,,
171,CTDC-SYN-0149,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.91779864,0.023204222,0.058997188,0.91779864,0.058997188,no configured indicator above threshold,False,,
172,CTDC-SYN-0254,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9370067,0.008642073,0.054351214,0.9370067,0.054351214,threats,False,,
173,CTDC-SYN-0009,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.93832386,0.047049794,0.014626299,0.93832386,0.047049794,close_recruiter_relationship,False,,
174,CTDC-SYN-0266,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9207119,0.032360293,0.046927787,0.9207119,0.046927787,no configured indicator above threshold,False,,
175,CTDC-SYN-0089,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9378645,0.01599405,0.04614143,0.9378645,0.04614143,close_recruiter_relationship,False,,
176,CTDC-SYN-0369,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.92998964,0.025490975,0.044519335,0.92998964,0.044519335,no configured indicator above threshold,False,,
177,CTDC-SYN-0378,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9224078,0.039632007,0.037960164,0.9224078,0.039632007,no configured indicator above threshold,False,,
178,CTDC-SYN-0269,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.96087974,0.0033300382,0.035790235,0.96087974,0.035790235,threats,False,,
179,CTDC-SYN-0315,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.94872594,0.015937071,0.03533704,0.94872594,0.03533704,no configured indicator above threshold,False,,
180,CTDC-SYN-0249,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.96694803,0.0036949888,0.029356997,0.96694803,0.029356997,denial_basic_needs,False,,
181,CTDC-SYN-0129,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.96706134,0.0038370164,0.029101718,0.96706134,0.029101718,no configured indicator above threshold,False,,
182,CTDC-SYN-0364,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.94365513,0.027421933,0.02892295,0.94365513,0.02892295,no configured indicator above threshold,False,,
183,CTDC-SYN-0112,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9707044,0.025691338,0.0036042265,0.9707044,0.025691338,denial_basic_needs; threats,False,,
184,CTDC-SYN-0350,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9697473,0.0055319015,0.024720754,0.9697473,0.024720754,no configured indicator above threshold,False,,
185,CTDC-SYN-0107,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.97399276,0.0035834503,0.022423811,0.97399276,0.022423811,close_recruiter_relationship,False,,
186,CTDC-SYN-0313,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.976158,0.0019511413,0.021890862,0.976158,0.021890862,denial_basic_needs; threats,False,,
187,CTDC-SYN-0018,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9764397,0.0019517043,0.021608561,0.9764397,0.021608561,denial_basic_needs; threats,False,,
188,CTDC-SYN-0220,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9763411,0.0027476111,0.020911207,0.9763411,0.020911207,threats,False,,
189,CTDC-SYN-0022,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9788113,0.0030372634,0.0181514,0.9788113,0.0181514,denial_basic_needs,False,,
190,CTDC-SYN-0389,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.98235,0.0023341246,0.015315894,0.98235,0.015315894,no configured indicator above threshold,False,,
191,CTDC-SYN-0085,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9800677,0.015160234,0.0047720787,0.9800677,0.015160234,close_recruiter_relationship,False,,
192,CTDC-SYN-0166,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.97571385,0.012305991,0.011980214,0.97571385,0.012305991,threats,False,,
193,CTDC-SYN-0029,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.98495877,0.0027970548,0.012244234,0.98495877,0.012244234,denial_basic_needs,False,,
194,CTDC-SYN-0070,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9845856,0.0031790992,0.012235335,0.9845856,0.012235335,no configured indicator above threshold,False,,
195,CTDC-SYN-0248,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9823712,0.0057795825,0.0118492,0.9823712,0.0118492,no configured indicator above threshold,False,,
196,CTDC-SYN-0113,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9820004,0.0061937473,0.011805827,0.9820004,0.011805827,denial_basic_needs,False,,
197,CTDC-SYN-0128,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9808621,0.010706881,0.008431029,0.9808621,0.010706881,close_recruiter_relationship,False,,
198,CTDC-SYN-0302,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.982008,0.007685547,0.010306481,0.982008,0.010306481,close_recruiter_relationship,False,,
199,CTDC-SYN-0318,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.98337734,0.007301197,0.00932149,0.98337734,0.00932149,denial_basic_needs; threats,False,,
200,CTDC-SYN-0192,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.9864268,0.009083967,0.0044892686,0.9864268,0.009083967,denial_basic_needs,False,,
